,loc_neighborhood,loc_City,coffee_shop_density,business_density,mean_price,mean_rating,mean_review_count,mean_goog_search,Avg_income_neighborhood,geom_mean_tt,rating_stdev,review_stdev,pct_fancy_donuts,pct_bakeries,pct_corporate,pct_tea_and_juice,pct_grab_and_go,pct_third_wave,pct_independent,Avg_Utility_Score,Count
412,Wyndhurst,Baltimore,2.4247802330061683,693.4871466397641,1.5,3.0,33.0,2.0,166139.5,975.06,0.7071067811865476,14.142135623730951,0.0,0.0,0.5,0.0,0.0,0.0,0.5,100.533,2
2247,Bagley,Detroit,1.4157986074114854,427.57117943826864,1.4,3.8,141.8,3.6,98855.667,975.0599999999998,1.1510864433221337,236.76084980418534,0.0,0.4,0.0,0.0,0.2,0.0,0.8,654.3634,5
2165,Berg-Lasher,Detroit,0.5181820155253097,210.9000803188011,1.0,2.5,6.0,3.0,93502.833,975.06,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.5,1
2221,Boynton,Detroit,0.2907581328601173,25.295957558830203,1.0,4.5,12.0,5.0,10933.0,975.06,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,52.2,1
2222,Briggs,Detroit,0.5653236645543752,127.7631481892888,1.0,4.5,2.0,0.0,11143.667,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.7,1
2220,Brush Park,Detroit,1.4533742547368245,638.0312978294659,1.0,3.0,6.0,4.0,31912.0,975.06,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.4,1
2251,Chaldean Town,Detroit,2.0677584049851783,785.7481938943678,1.0,4.0,100.0,5.0,41269.0,975.06,0.7071067811865476,128.69343417595164,0.5,0.5,0.0,0.0,0.0,0.0,1.0,430.65000000000003,2
2252,Conner Creek Ind,Detroit,0.2025379403257512,27.747697824627913,1.0,2.0,6.0,3.0,21291.833,975.06,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.6,1
2168,Corktown,Detroit,11.112428825247493,5010.117910354442,1.8571428571428572,4.357142857142857,258.7142857142857,5.0,27671.476428571426,975.0599999999997,0.37796447300922725,280.9630546802161,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,1397.4238571428573,7
2197,Downtown,Detroit,11.76969627104472,10390.399960423718,1.6428571428571428,3.619047619047619,133.26190476190476,3.0714285714285716,59135.142857142855,975.06,0.9422956128876776,248.59017694658044,0.0,0.07142857142857142,0.09523809523809523,0.0,0.047619047619047616,0.0,0.8571428571428571,623.5402857142857,42
2192,East English Village,Detroit,0.37016283883295453,102.16494351789545,2.0,4.0,15.0,0.0,71066.0,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,1
2225,Eight Mile Wyoming,Detroit,0.6886321130369175,207.9668981371491,1.0,5.0,12.0,5.0,98855.667,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,1
2170,Elmwood Park,Detroit,0.4075914574091443,220.09938700093792,2.0,2.5,49.0,0.0,58362.667,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,147.0,1
2171,English Village,Detroit,2.8765426629446966,563.8023619371605,1.0,1.0,25.0,3.0,48673.833,975.06,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.166999999999998,1
2199,Grandale,Detroit,0.24394896136902394,90.26111570653886,1.0,2.0,4.0,3.0,65985.333,975.06,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.733,1
2203,Hubbard-Richard,Detroit,1.1338902857431452,256.2592045779508,1.0,4.333333333333333,126.33333333333333,3.6666666666666665,11143.667,975.06,0.2886751345948129,74.67485074195551,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,534.7276666666667,3
2218,Islandview,Detroit,0.6279984412637163,231.10342638504758,1.0,3.5,15.0,4.0,53518.25,975.06,1.4142135623730951,7.0710678118654755,0.0,0.0,0.0,0.0,0.5,0.0,0.5,45.9165,2
2232,Lafayette Park,Detroit,1.6304926941459075,880.46605483879,1.5,3.75,42.0,2.5,58362.667,975.06,0.3535533905932738,32.526911934581186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,157.808,2
2177,Medical Center,Detroit,2.658653593093512,1191.0768097058933,2.5,2.75,6.0,4.5,32073.333,975.06,1.0606601717798212,4.242640687119285,0.0,0.0,0.5,0.0,0.0,0.0,0.5,18.125,2
